FECHA;Precipitación: l/m2
14/04/2015;0
15/04/2015;0
16/04/2015;0.4
17/04/2015;0.4
18/04/2015;2
19/04/2015;0
20/04/2015;0
21/04/2015;0
22/04/2015;4.2
23/04/2015;0
24/04/2015;0
25/04/2015;0.6
26/04/2015;1.8
27/04/2015;0.2
28/04/2015;0.2
29/04/2015;0
30/04/2015;0
01/05/2015;0.6
02/05/2015;0
03/05/2015;0.4
04/05/2015;0
05/05/2015;0
06/05/2015;0
07/05/2015;0
08/05/2015;0
09/05/2015;0
10/05/2015;0
11/05/2015;0
12/05/2015;0
13/05/2015;0
14/05/2015;0
15/05/2015;0
16/05/2015;0
17/05/2015;0
18/05/2015;0
19/05/2015;0.2
20/05/2015;3.6
21/05/2015;1
22/05/2015;0
23/05/2015;0
24/05/2015;0
25/05/2015;0
26/05/2015;0
27/05/2015;0
28/05/2015;0
29/05/2015;0
30/05/2015;0
31/05/2015;0
01/06/2015;0
02/06/2015;0
03/06/2015;0
04/06/2015;0
05/06/2015;0
06/06/2015;0
07/06/2015;0
08/06/2015;0
09/06/2015;0.8
10/06/2015;15.8
11/06/2015;10.6
12/06/2015;1.4
13/06/2015;0.2
14/06/2015;29.4
15/06/2015;0
16/06/2015;0
17/06/2015;0
18/06/2015;0
19/06/2015;0
20/06/2015;0
21/06/2015;0
22/06/2015;0.6
23/06/2015;0.2
24/06/2015;0
25/06/2015;0
26/06/2015;0
27/06/2015;0
28/06/2015;0
29/06/2015;0
30/06/2015;
01/07/2015;0
02/07/2015;0
03/07/2015;0
04/07/2015;0
05/07/2015;0
06/07/2015;0
07/07/2015;0
08/07/2015;0
09/07/2015;0
10/07/2015;0
11/07/2015;0
12/07/2015;0
13/07/2015;0
14/07/2015;0
15/07/2015;0
16/07/2015;0
17/07/2015;
18/07/2015;
19/07/2015;0
20/07/2015;0
21/07/2015;10
22/07/2015;0
23/07/2015;0
24/07/2015;0
25/07/2015;0
26/07/2015;0
27/07/2015;0
28/07/2015;0
29/07/2015;0
30/07/2015;24
31/07/2015;0
01/08/2015;0
02/08/2015;
03/08/2015;0
04/08/2015;0
05/08/2015;0
06/08/2015;0
07/08/2015;0
08/08/2015;0
09/08/2015;0
10/08/2015;0
11/08/2015;0.6
12/08/2015;0
13/08/2015;2.4
14/08/2015;0
15/08/2015;1.2
16/08/2015;0
17/08/2015;0
18/08/2015;0
19/08/2015;0
20/08/2015;
21/08/2015;0
22/08/2015;18.6
23/08/2015;0
24/08/2015;0.4
25/08/2015;0
26/08/2015;0
27/08/2015;0
28/08/2015;0
29/08/2015;0
